Title,Type,Year,Venue,Name,Summary,Paper Link,Code Link,Organizations,Authors
Differentially Private Synthetic Data via Foundation Model APIs 1: Images,Paper,2023,"ICLR 2024
NeurIPS Workshop 2023 %%red:__(Oral)__%%",Private Evolution (PE),The first PE paper; PE for images,https://arxiv.org/abs/2305.15560,https://github.com/microsoft/DPSDA,Microsoft Research,"Zinan Lin, Sivakanth Gopi, Janardhan Kulkarni, Harsha Nori, Sergey Yekhanin"
Differentially Private Synthetic Data via Foundation Model APIs 2: Text,Paper,2024,"ICML 2024 %%red:__(Spotlight)__%%
ICLR Workshop 2024",Augmented PE (Aug-PE),PE for text,https://arxiv.org/abs/2403.01749,https://github.com/microsoft/DPSDA,"Microsoft Research, University of Illinois Urbana-Champaign, The University of Chicago ","Chulin Xie, Zinan Lin, Arturs Backurs, Sivakanth Gopi, Da Yu, Huseyin Inan, Harsha Nori, Haotian Jiang, Huishuai Zhang, Yin Tat Lee, Bo Li, Sergey Yekhanin"
PrE-Text: Training Language Models on Private Federated Data in the Age of LLMs,Paper,2024,"ICML 2024 %%red:__(Oral)__%%
ICLR Workshop 2024 %%red:__(Honorable Mention for Best Paper)__%%",Private Evolution-Text (PrE-Text),PE for text in federated learning,https://arxiv.org/pdf/2406.02958,https://github.com/houcharlie/PrE-Text,"Meta, Carnegie Mellon University","Charlie Hou, Akshat Shrivastava, Hongyuan Zhan, Rylan Conway, Trang Le, Adithya Sagar, Giulia Fanti, Daniel Lazar"
EvolveGen: Evolutional Data Generation Platform,Code,2024,-,EvolveGen,PE with cloud-edge collaboration,,https://github.com/TsingZ0/EvolveGen,Shanghai Jiao Tong University,Jianqing Zhang
The Crossroads of Innovation and Privacy: Private Synthetic Data for Generative AI,Blog,2024,-,-,Overview of PE,https://www.microsoft.com/en-us/research/blog/the-crossroads-of-innovation-and-privacy-private-synthetic-data-for-generative-ai/,,Microsoft Research,"Gbola Afonja, Robert Sim, Zinan Lin, Huseyin Atahan Inan, Sergey Yekhanin "
Contrastive Private Data Synthesis via Weighted Multi-PLM Fusion,Paper,2025,ICML 2025,WASP,PE with multiple LLMs,https://arxiv.org/abs/2502.00245,https://anonymous.4open.science/r/WASP,"Tsinghua University, Shanghai Jiao Tong University, Harbin Institute of Technology, AsiaInfo Technologies","Tianyuan Zou, Yang Liu, Peng Li, Yufei Xiong, Jianqing Zhang, Jingjing Liu, Xiaozhou Ye, Ye Ouyang, Ya-Qin Zhang"
Differentially Private Synthetic Data via APIs 3: Using Simulators Instead of Foundation Model,Paper,2025,ICLR Workshop 2025,Sim-PE,"PE for images using data synthesizers that do _not_ rely on neural networks, such as text renderer, computer graphics-based render, cartoon avatar generator",https://arxiv.org/abs/2502.05505,https://github.com/microsoft/DPSDA,Microsoft Research,"Zinan Lin, Tadas Baltrusaitis, Wenyu, Wang, Sergey Yekhanin"
Is API Access to LLMs Useful for Generating Private Synthetic Tabular Data?,Paper,2025,-,-,PE for tabular data,https://arxiv.org/abs/2502.06555,,"Google, Boston University","Marika Swanberg, Ryan McKenna, Edo Roth, Albert Cheu, Peter Kairouz"
Understanding Aggregate Trends for Apple Intelligence Using Differential Privacy,Blog,2025,-,-,PE for understanding trends in real user data,https://machinelearning.apple.com/research/differential-privacy-aggregate-trends,,Apple,-
Private Federated Learning using Preference-Optimized Synthetic Data,Paper,2025,"ICML 2025
ICLR Workshop 2025 %%red:__(Honorable Mention, Spotlight)__%%",Preference Optimization for Private Client Data (POPri),DP federated learning by fine-tuning LLMs using Direct Preference Optimization (DPO) on preference data collected from clients via PE,https://arxiv.org/abs/2504.16438,https://github.com/meiyuw/POPri,"Carnegie Mellon University, Pittsburgh Supercomputing Center, Coldrays","Charlie Hou, Mei-Yu Wang, Yige Zhu, Daniel Lazar, Giulia Fanti"
PCEvolve: Private Contrastive Evolution for Synthetic Dataset Generation via Few-Shot Private Data and Generative APIs,Paper,2025,ICML 2025 %%red:__(Spotlight)__%%,Private Contrastive Evolution (PCEvolve),Replace the data selection step in PE with an exponential mechanism that uses a utility function designed to emphasize inter-class discrimination,https://arxiv.org/abs/2506.05407,https://github.com/TsingZ0/PCEvolve,"Shanghai Jiao Tong University, Tsinghua University, Hong Kong Polytechnic University, Shanghai Artificial Intelligence Laboratory, Stevens Institute of Technology, Queen's University Belfast, Shanghai Key Laboratory of Trusted Data Circulation and
Governance in Web3","Jianqing Zhang, Yang Liu, Jie Fu, Yang Hua, Tianyuan Zou, Jian Cao, Qiang Yang"
Private Evolution Converges,Paper,2025,-,-,Theoretical convergence analysis of PE,https://arxiv.org/abs/2506.08312,,Carnegie Mellon University,"Tomas Gonzalez, Giulia Fanti, Aaditya Ramdas"
Synthesize Privacy-Preserving High-Resolution Images via Private Textual Intermediaries,Paper,2025,-,Synthesis via Private Textual Intermediaries (SPTI),"Enable DP image synthesis via DP text synthesis by: (1) converting private images to text using image-to-text models, (2) applying the PE to generate DP text, and (3) transforming the DP text back into images using text-to-image models",https://arxiv.org/abs/2506.07555,,"Peking University, Microsoft Research, Sun Yat-sen University","Haoxiang Wang, Zinan Lin, Da Yu, Huishuai Zhang"
DPImageBench: A Unified Benchmark for Differentially Private Image Synthesis,Paper,2025,-,DPImageBench,Benchmarking PE (and other methods) on DP image synthesis,https://arxiv.org/abs/2503.14681,https://github.com/2019ChenGong/DPImageBench/tree/main,"University of Virginia, Microsoft Research","Chen Gong, Kecen Li, Zinan Lin, Tianhao Wang"
